pickup_datetime,dropoff_datetime,trip_distance,passenger_count,payment_amount,duration
1/01/16 0:00,1/01/16 0:13,1.5,1,14.65,13
1/01/16 0:01,1/01/16 0:07,1.4,2,10.75,6
1/01/16 0:02,1/01/16 0:08,1.02,1,8.76,6
1/01/16 0:03,1/01/16 0:15,4,1,18.95,12
1/01/16 0:04,1/01/16 0:22,3.53,1,16.8,18
1/01/16 0:04,1/01/16 0:30,3.3,1,18.8,26
1/01/16 0:05,1/01/16 0:11,2.7,1,12.95,6
1/01/16 0:05,1/01/16 0:12,1.6,1,8.8,7
1/01/16 0:06,1/01/16 0:15,3.9,1,13.3,9
1/01/16 0:06,1/01/16 0:15,0.6,2,10,9
1/01/16 0:06,1/01/16 0:16,0.81,2,10.56,10
1/01/16 0:07,1/01/16 0:17,3.4,1,12.8,10
1/01/16 0:08,1/01/16 0:23,3.07,1,14.3,15
1/01/16 0:08,1/01/16 0:38,15.8,1,70.3,30
1/01/16 0:09,1/01/16 0:14,1.1,1,9.45,5
1/01/16 0:09,1/01/16 0:45,7.4,1,35.76,36
1/01/16 0:09,1/01/16 0:28,7.1,2,29.16,19
1/01/16 0:09,1/01/16 0:15,0.9,2,7.3,6
1/01/16 0:10,1/01/16 0:19,1.74,1,11.5,9
1/01/16 0:10,1/01/16 0:27,5.6,1,24.95,17
1/01/16 0:10,1/01/16 0:18,1.43,4,8.8,8
1/01/16 0:11,1/01/16 0:18,1.28,1,9.96,7
1/01/16 0:11,1/01/16 0:29,2,2,15.6,18
1/01/16 0:11,1/01/16 0:18,1,2,9.35,7
1/01/16 0:11,1/01/16 0:17,1.3,1,7.8,6
1/01/16 0:11,1/01/16 0:18,1.31,1,8.3,7
1/01/16 0:12,1/01/16 0:23,1.4,2,12.35,11
1/01/16 0:12,1/01/16 0:25,1.6,1,10.8,13
1/01/16 0:12,1/01/16 0:38,13.68,2,48.36,26
1/01/16 0:13,1/01/16 0:23,1.9,1,12.8,10
1/01/16 0:13,1/01/16 0:23,4.9,1,18.3,10
1/01/16 0:14,1/01/16 0:29,3.3,1,17.75,15
1/01/16 0:14,1/01/16 0:53,9.19,1,41.34,39
1/01/16 0:14,1/01/16 0:34,3.64,1,16.8,20
