smokers_me_3_rrmse_3_11_7_13, smokers_f_me_3_rrmse_3_11_7_13, obese_f_me_3_rrmse_3_11_7_13, area_code, ovrwght_f_me_3_rrmse_3_11_7_13, obese_m_me_3_rrmse_3_11_7_13, smokers_f_me_2_rate_3_11_7_13, alcohol_cons_2_rate_3_11_7_13, obese_f_me_1_no_3_11_7_13, ovrwght_p_me_3_rrmse_3_11_7_13, obese_m_me_2_rate_3_11_7_13, smokers_me_2_rate_3_11_7_13, ovrwght_m_me_3_rrmse_3_11_7_13, ovrwght_p_me_2_rate_3_11_7_13, alcohol_cons_3_rrmse_3_11_7_13, area_name, smokers_m_me_3_rrmse_3_11_7_13, ovrwght_f_me_2_rate_3_11_7_13, smokers_m_me_2_rate_3_11_7_13, obese_p_me_2_rate_3_11_7_13, obese_p_me_3_rrmse_3_11_7_13, ovrwght_m_me_2_rate_3_11_7_13
3.0,3.0,3.0,20110,3.0,3.0,19.5484459024064,3.27152988496365,1382.27747602049,3.0,26.1470306714611,22.3995438173689,3.0,37.1399458773473,3.0,"Alpine (S)",3.0,28.3493041548102,25.2299543287879,30.7437267549723,3.0,45.3983617431871
3.0,3.0,3.0,20260,3.0,3.0,21.725923653522,3.46708814228287,1178.19506940325,3.0,25.6306612229058,24.2214697355774,3.0,34.9346141343043,1.0,"Ararat (RC)",3.0,27.1921742853933,26.6635909293836,29.0237003078816,3.0,42.0514781747703
3.0,3.0,3.0,20570,3.0,3.0,20.0230596233264,3.15137167384607,9988.31691163701,3.0,26.0443002406538,21.8191442266798,3.0,35.8927206295409,3.0,"Ballarat (C)",3.0,27.9595393511871,23.7204682462466,30.2168005103214,3.0,44.0045824204103
3.0,3.0,3.0,20660,3.0,3.0,13.6929981892452,2.89334513517364,10039.145709054,3.0,23.4487370147496,15.7887848355937,3.0,34.4707760344615,3.0,"Banyule (C)",3.0,26.9345674381763,17.9966447097161,24.4860145074032,3.0,42.0520154256865
3.0,3.0,3.0,20740,3.0,3.0,21.1041824854947,3.25239469890829,3281.221609762,3.0,26.8737457488913,23.3969815070323,3.0,35.7985855358664,3.0,"Bass Coast (S)",3.0,27.9266554796512,25.7339112038833,29.5899300820697,3.0,43.3127653739479
3.0,3.0,3.0,20830,3.0,3.0,18.7940834377746,3.1190472383056,4135.96817308989,3.0,26.1270806170186,21.109746631319,3.0,35.3919666644391,3.0,"Baw Baw (S)",3.0,27.1598352017732,23.5111364518947,28.2755339054153,3.0,43.4337339033318
3.0,3.0,3.0,20910,3.0,3.0,11.9199194332308,2.5291270804981,5153.7922054,3.0,18.9086535184444,12.3793326955422,3.0,36.7465309921412,3.0,"Bayside (C)",3.0,27.8962726943339,12.8695467160393,17.7106626845525,3.0,46.0187296748319
3.0,3.0,3.0,21010,3.0,3.0,21.362167632279,3.30042829579892,1563.46313101507,3.0,27.3588912089867,23.2169392682706,3.0,35.5837464371508,3.0,"Benalla (RC)",3.0,27.8069714444149,25.1718719611812,30.8979393911339,3.0,43.3035087292656
3.0,3.0,3.0,21110,3.0,3.0,10.1953358290657,2.48148661312598,5813.57706224488,3.0,16.5390693771122,10.7994562441226,3.0,36.124719183534,3.0,"Boroondara (C)",3.0,26.860427043829,11.444416519545,13.7529737633168,3.0,45.6398556940114
3.0,3.0,3.0,21180,3.0,3.0,14.4703078755273,2.98750889903635,18863.7583370009,3.0,25.8089877120471,19.9796475965491,3.0,35.2982502048626,3.0,"Brimbank (C)",3.0,27.6814673637218,25.5058299006412,29.1211807929099,3.0,42.4928718158974
3.0,3.0,3.0,21270,3.0,3.0,23.1669743627583,3.50814819767127,627.241347332525,3.0,27.1472211055118,25.3854753456266,3.0,35.5297639433281,1.0,"Buloke (S)",3.0,27.4257854157995,27.5838240516419,28.8038129976709,3.0,43.0460180381646
3.0,3.0,3.0,21370,3.0,3.0,21.7316266574687,3.34129553606348,4359.26170439547,3.0,27.8171103930496,24.4260896273265,3.0,35.2712367986286,3.0,"Campaspe (S)",3.0,27.4901436902115,27.1746405634772,32.9001166562388,3.0,42.7351558801089
3.0,3.0,3.0,21450,3.0,3.0,18.6248761272566,3.20936076701307,6849.27506094632,3.0,26.7119085123447,20.9404299491433,3.0,35.9883343496986,3.0,"Cardinia (S)",3.0,28.1196364728529,23.3933461617291,28.9428351794681,3.0,43.869327279111
3.0,3.0,3.0,21610,3.0,3.0,16.2084402979803,2.96092965019349,22544.0699431,3.0,25.9362433917187,19.252530055802,3.0,35.5763367163334,3.0,"Casey (C)",3.0,27.5731577758413,22.4043468651534,28.0492652778323,3.0,43.4654175164167
3.0,3.0,3.0,21670,3.0,3.0,25.4111476582566,3.56283673994913,1498.22086363611,3.0,27.9966818765047,28.2529709497185,3.0,34.9505927494892,3.0,"Central Goldfields (S)",3.0,28.7860101411243,31.1769297399695,31.9567768606204,3.0,40.7189384556117
3.0,3.0,3.0,21750,3.0,3.0,21.0478395896992,3.34219393414333,1944.55362037873,3.0,26.777012352067,23.7666274344937,3.0,36.0479830852682,3.0,"Colac-Otway (S)",3.0,27.9627702465904,26.4234345953844,28.4788339182461,3.0,43.4885574843917
3.0,3.0,3.0,21830,3.0,3.0,19.4375827834925,3.27872531973732,1657.25243492621,3.0,27.0017655539822,22.2689076843855,3.0,36.7794438296323,3.0,"Corangamite (S)",3.0,27.9379230921809,25.0386953592521,29.734909516759,3.0,45.1020051078177
3.0,3.0,3.0,21890,3.0,3.0,13.4284577203505,3.00808341966229,11573.0826626,3.0,24.1562499489426,17.1629660261328,3.0,34.3833271605112,3.0,"Darebin (C)",3.0,26.8294041752705,21.0307565101287,25.0858425196151,3.0,41.832626378712
3.0,3.0,3.0,22110,3.0,3.0,21.8364039782763,3.28181139351085,4867.76452657619,3.0,26.5294100363429,24.6145583754198,3.0,35.6875894763349,3.0,"East Gippsland (S)",3.0,27.7497688993145,27.5111944923957,30.2092572149329,3.0,43.3826012241708
3.0,3.0,3.0,22170,3.0,3.0,19.7834654395902,3.24039048850051,12928.0390359,3.0,25.9567941924933,22.5123731496499,3.0,35.3010130101356,3.0,"Frankston (C)",3.0,27.4460898535672,25.3854248980533,28.879450221701,3.0,43.1820176909287
