k10_me_3_rrmse_3_11_7_13, area_code, area_name, k10_me_2_rate_3_11_7_13
3.0,20110,"Alpine (S)",11.6259411303119
3.0,20260,"Ararat (RC)",12.0906208534639
3.0,20570,"Ballarat (C)",12.6743199737808
3.0,20660,"Banyule (C)",10.3718574452266
3.0,20740,"Bass Coast (S)",13.5235715949179
3.0,20830,"Baw Baw (S)",11.7958225412901
3.0,20910,"Bayside (C)",9.7092012221571
3.0,21010,"Benalla (RC)",12.7063896056552
3.0,21110,"Boroondara (C)",8.59651772566375
3.0,21180,"Brimbank (C)",13.3245926332471
3.0,21270,"Buloke (S)",11.5960026196906
3.0,21370,"Campaspe (S)",11.6623622732561
3.0,21450,"Cardinia (S)",11.2914290577328
3.0,21610,"Casey (C)",11.5319964384208
3.0,21670,"Central Goldfields (S)",13.0795105100912
3.0,21750,"Colac-Otway (S)",11.7592243605985
3.0,21830,"Corangamite (S)",10.7975368085398
3.0,21890,"Darebin (C)",12.93378039402
3.0,22110,"East Gippsland (S)",12.8798007790049
3.0,22170,"Frankston (C)",12.7335643986524
3.0,22250,"Gannawarra (S)",11.5952854942464
3.0,22750,"Greater Geelong (C)",12.0362180002375
3.0,22830,"Greater Shepparton (C)",12.7077350438299
3.0,22910,"Hepburn (S)",13.2276449512203
3.0,22980,"Hindmarsh (S)",12.2992906357459
3.0,23110,"Hobsons Bay (C)",11.8186786307422
3.0,23190,"Horsham (RC)",11.4613884887881
3.0,23270,"Hume (C)",12.87946532008
3.0,23350,"Indigo (S)",9.40989990149559
3.0,23430,"Kingston (C)",11.292201605311
3.0,23670,"Knox (C)",10.954544618462
3.0,23810,"Latrobe (C)",13.8731151196431
3.0,23940,"Loddon (S)",10.5884681463829
3.0,24130,"Macedon Ranges (S)",10.4757353880583
3.0,24210,"Manningham (C)",8.82647256451655
3.0,24250,"Mansfield (S)",11.9478895973291
3.0,24330,"Maribyrnong (C)",12.0705116256603
3.0,24410,"Maroondah (C)",10.5828072473045
3.0,24600,"Melbourne (C)",12.4243670764612
3.0,24650,"Melton (S)",10.4134886438296
3.0,24780,"Mildura (RC)",12.969156216552
3.0,24850,"Mitchell (S)",11.6150481210693
3.0,24900,"Moira (S)",11.9983539177869
3.0,24970,"Monash (C)",10.5309212041225
3.0,25060,"Moonee Valley (C)",10.5751840233999
3.0,25150,"Moorabool (S)",11.7798796145815
3.0,25250,"Moreland (C)",11.5482803852727
3.0,25340,"Mornington Peninsula (S)",12.1630579021227
3.0,25430,"Mount Alexander (S)",12.6230641828009
3.0,25490,"Moyne (S)",10.7510144058001
3.0,25620,"Murrindindi (S)",10.7166118865204
3.0,25710,"Nillumbik (S)",8.50105464270863
3.0,25810,"Northern Grampians (S)",13.3643180388633
3.0,25900,"Port Phillip (C)",10.3502356455026
3.0,25990,"Pyrenees (S)",12.8012204286131
1.0,26080,"Queenscliffe (B)",10.9477057325627
3.0,26170,"South Gippsland (S)",10.9624377768219
3.0,26260,"Southern Grampians (S)",11.3990178348843
3.0,26350,"Stonnington (C)",9.72536237313447
3.0,26430,"Strathbogie (S)",10.8708388999781
3.0,26490,"Surf Coast (S)",9.3487496927092
3.0,26610,"Swan Hill (RC)",11.1748520615528
3.0,26670,"Towong (S)",11.0725791740949
3.0,26700,"Wangaratta (RC)",11.8786118104693
3.0,26730,"Warrnambool (C)",10.5714464536742
3.0,26810,"Wellington (S)",11.6005812264937
3.0,26890,"West Wimmera (S)",12.2952660918118
3.0,26980,"Whitehorse (C)",10.7889722530965
3.0,27070,"Whittlesea (C)",12.0930405774231
3.0,22310,"Glen Eira (C)",10.3078254048687
3.0,22410,"Glenelg (S)",12.291613630928
3.0,22490,"Golden Plains (S)",10.3622842732283
3.0,22620,"Greater Bendigo (C)",12.1135787241865
3.0,22670,"Greater Dandenong (C)",14.3560068331146
3.0,27170,"Wodonga (RC)",12.0531451137272
3.0,27260,"Wyndham (C)",10.50899899323
3.0,27350,"Yarra (C)",11.0657480897472
3.0,27450,"Yarra Ranges (S)",10.361608621799
3.0,27630,"Yarriambiack (S)",12.2900072765162
1.0,29399,"Unincorporated Vic",11.6020874429726
