tfe_meas, Hosp_empl, GPsrv_meas, LGA_Name, AHS_LbFrce, NumGP_Srv, ResPop, LGA2011, tfe_attppl, DisSS_meas, v_meas, AHS_Empl, HS_meas, Avi_meas, tes__meas, AHS_meas, tes_attppl, wkage_pop
0.031,235,5.5,Alpine (S),5609,65356,11880,20110,225,8.7,4.6,569,0.0198,67.9,0.021,0.101,153,7265
0.02,277,4.7,Ararat (RC),4968,52851,11184,20260,141,5.5,4.1,643,0.0248,91.6,0.02,0.129,138,6909
0.028,3277,4.8,Ballarat (C),44904,446177,93501,20570,1739,4,1.4,6450,0.035,79.9,0.08,0.144,4881,61215
0.03,6430,5.7,Banyule (C),61385,678267,118308,20660,2324,2.3,1,8499,0.0543,14.1,0.081,0.138,6378,78606
0.029,403,6.3,Bass Coast (S),12746,186634,29616,20740,515,17.4,2.8,1356,0.0136,77.3,0.019,0.106,341,17565
0.037,653,5.5,Baw Baw (S),20832,237436,42863,20830,1014,8.3,2.6,2237,0.0152,82.6,0.032,0.107,864,27140
0.022,986,5.2,Bayside (C),45467,477055,91813,20910,1250,2,1,4883,0.0107,4.6,0.078,0.107,4498,57554
0.037,197,5.1,Benalla (RC),6336,70287,13648,21010,310,9.1,7.2,772,0.0144,100,0.019,0.122,161,8367
0.023,1487,4.7,Boroondara (C),84060,741015,159184,21110,2487,1.4,0.9,11031,0.0093,8.3,0.127,0.131,13713,107844
0.034,1781,6.6,Brimbank (C),83280,1207612,182736,21180,4371,2.3,1.1,6949,0.0097,10.8,0.059,0.083,7480,126987
0.015,136,7.4,Buloke (S),2824,47196,6383,21270,55,14.1,13.5,319,0.0213,190.3,0.019,0.113,69,3683
0.034,736,5.3,Campaspe (S),16685,191124,36364,21370,756,8.1,2.7,1932,0.0202,167.2,0.019,0.116,416,22050
0.038,104,5,Cardinia (S),38000,372020,74175,21450,1858,5.4,2.5,3447,0.0014,40.6,0.035,0.091,1701,48961
0.039,1436,6.1,Casey (C),127021,1536538,252380,21610,6637,2.7,1.5,12089,0.0057,24.2,0.044,0.095,7496,171260
0.026,266,7.3,Central Goldfields (S),4742,90777,12496,21670,189,6.2,3.3,631,0.0213,129.2,0.02,0.133,147,7329
0.029,514,5.1,Colac-Otway (S),9837,104677,20347,21750,369,6.6,6,1195,0.0253,95.4,0.021,0.121,266,12694
0.034,326,5,Corangamite (S),7804,81776,16377,21830,331,9,6.6,741,0.0199,111.4,0.022,0.095,214,9803
0.034,603,6.2,Darebin (C),67995,842996,136474,21890,3177,1.8,1.5,7904,0.0044,8.4,0.109,0.116,10246,94212
0.037,253,4.9,East Gippsland (S),18042,208115,42193,22110,925,19.1,5,2292,0.006,192,0.02,0.127,497,25106
0.039,3079,5.9,Frankston (C),64213,744332,126456,22170,3288,2.8,1.6,7189,0.0243,23.7,0.039,0.112,3267,84835
0.021,174,4.9,Gannawarra (S),4553,51014,10366,22250,124,15.8,3.3,460,0.0168,228.1,0.014,0.101,84,5964
0.027,1862,5.5,Glen Eira (C),69265,714120,131013,22310,2366,1.2,0.8,7944,0.0142,4.9,0.096,0.115,8479,88089
0.035,476,6,Glenelg (S),9251,116987,19575,22410,433,15.3,4.3,1086,0.0243,16.8,0.016,0.117,205,12448
0.028,0,4,Golden Plains (S),9387,74194,18772,22490,345,18.3,3.6,1128,0,59.3,0.033,0.12,409,12420
0.036,2810,4.8,Greater Bendigo (C),48247,482649,100617,22620,2319,7,2.2,6924,0.0279,122.6,0.059,0.144,3826,64977
0.043,2664,6.8,Greater Dandenong (C),59331,922958,135605,22670,3957,1.8,1.2,5225,0.0196,11.6,0.057,0.088,5270,92050
0.036,4985,5.3,Greater Geelong (C),101028,1126044,210873,22750,4895,3.9,1.4,13016,0.0236,23.9,0.057,0.129,7781,136363
0.035,1534,5.1,Greater Shepparton (C),28208,307364,60448,22830,1367,7.2,2.1,3771,0.0254,140.9,0.024,0.134,928,38531
